Concentration,Box,SurfaceArea,Sample,Overall,NormalizedSample,NormalizedOverall,OverallStdDev
60.0,Box 1,1458,1458.0,13995.0,1.0,0.7810810810810811,0.30271766372294134
30.0,Box 3,1308,1308.0,13389.0,0.8940677966101694,0.23513513513513515,0.30271766372294134
15.0,Box 5,909,909.0,13797.0,0.6122881355932204,0.6027027027027027,0.30271766372294134
7.5,Box 7,654,654.0,14151.0,0.4322033898305085,0.9216216216216216,0.30271766372294134
3.75,Box 9,573,573.0,13680.0,0.375,0.4972972972972973,0.30271766372294134
1.875,Box 11,333,333.0,13974.0,0.2055084745762712,0.7621621621621621,0.30271766372294134
0.9375,Box 13,219,219.0,13875.0,0.125,0.672972972972973,0.30271766372294134
0.46875,Box 15,375,375.0,14238.0,0.23516949152542374,1.0,0.30271766372294134
0.234375,Box 17,282,282.0,14145.0,0.1694915254237288,0.9162162162162162,0.30271766372294134
0.1171875,Box 19,42,42.0,13128.0,0.0,0.0,0.30271766372294134
