Concentration,Box,SurfaceArea,Sample,Overall,NormalizedSample,NormalizedOverall,OverallStdDev
60.0,Box 1,3024,3024.0,17826.0,1.0,1.0,0.3079039478045506
30.0,Box 3,2964,2964.0,17547.0,0.9801587301587301,0.9561113732892874,0.3079039478045506
15.0,Box 5,2511,2511.0,16287.0,0.8303571428571429,0.7579046720151015,0.3079039478045506
7.5,Box 7,2559,2559.0,15735.0,0.8462301587301587,0.6710712600283153,0.3079039478045506
3.75,Box 9,2151,2151.0,15885.0,0.7113095238095238,0.6946672958942898,0.3079039478045506
1.875,Box 11,1965,1965.0,13059.0,0.6498015873015873,0.25011798017932985,0.3079039478045506
0.9375,Box 13,1050,1050.0,11469.0,0.3472222222222222,0.0,0.3079039478045506
0.46875,Box 15,996,996.0,14127.0,0.32936507936507936,0.4181217555450684,0.3079039478045506
0.234375,Box 17,228,228.0,13635.0,0.07539682539682539,0.340726757904672,0.3079039478045506
0.1171875,Box 19,0,0.0,13560.0,0.0,0.32892873997168476,0.3079039478045506
