Concentration,Box,SurfaceArea,Sample,Overall,NormalizedSample,NormalizedOverall,OverallStdDev
60.0,Box 1,1458,1458.0,13947.0,1.0,0.4402730375426621,0.28939922365910975
30.0,Box 3,1308,1308.0,13197.0,0.8898678414096917,0.1558589306029579,0.28939922365910975
15.0,Box 5,963,963.0,15423.0,0.6365638766519823,1.0,0.28939922365910975
7.5,Box 7,762,762.0,14100.0,0.4889867841409692,0.49829351535836175,0.28939922365910975
3.75,Box 9,771,771.0,12786.0,0.4955947136563877,0.0,0.28939922365910975
1.875,Box 11,531,531.0,14916.0,0.31938325991189426,0.8077360637087599,0.28939922365910975
0.9375,Box 13,465,465.0,13812.0,0.2709251101321586,0.3890784982935154,0.28939922365910975
0.46875,Box 15,375,375.0,13554.0,0.20484581497797358,0.2912400455062571,0.28939922365910975
0.234375,Box 17,282,282.0,14772.0,0.13656387665198239,0.7531285551763367,0.28939922365910975
0.1171875,Box 19,96,96.0,14229.0,0.0,0.5472127417519909,0.28939922365910975
